name,url,text
Main,https://www.puissance-zelda.com/encyclopedie/325-Main,"??? est une main, ou plutôt une personne se trouvant dans certaines toilettes de la saga, et réclamant toujours à notre héros la même chose : du papier (surprenant non ?). Sa première apparition remonte à Majora's Mask, où Link peut le (la ?) rencontrer dans les cabinets de l'auberge à partir de minuit. Après lui avoir donné une lettre pour... satisfaire ses besoins, ??? offre au jeune Hylien un quart de cœur. Il est à noter que malgré la nature on ne peut plus mystérieuse de ce personnage, il apparait tout de même dans le journal des Bombers.,,Dans Oracle of Ages, ??? peut être rencontré dans la Cité Lynna, mais uniquement dans le passé. Il sera notamment utile pour la quête de l'Épée Noble. En effet, contre un Papier à Lettre, il donnera à notre héros un Sac qui Pue.,,??? fait sa dernière apparition dans Skyward Sword, dans les cabinets de l’école de chevalerie. On apprend dans ce nouvel épisode que cette main appartient au fantôme d’une jeune fille. Une fois encore, cette main réclamera du papier. En lui donnant la lettre d’amour d’Orbo écrite pour Grida, ??? offrira 5 cristaux de gratitude et tombera éperdument amoureuse d’Orbo."
Abeilles,https://www.puissance-zelda.com/encyclopedie/621-Abeilles,"Les abeilles sont de petits insectes devenus récurrents dans les derniers opus Zelda, considérés comme des ennemis et également comme des ingrédients, et ce depuis leur première apparition dans A Link to The Past. On les retrouve généralement en haut des arbres, près de leur ruche, dans les forêts ou les plaines. Être minuscule, il est parfois difficile d’abattre cet ennemi, surtout dans Twilight Princess ou encore Skyward Sword où nos mouvements sont certes beaucoup plus précis, mais couvrent moins de surface. A moins d’agiter l’épée dans tous les sens ou de s’enfuir à toutes jambes, les abeilles sont de tenaces adversaires. Néanmoins, dans Skyward Sword ou encore A Link To The Past, il nous est possible de les attraper via un filet à papillons et de les conserver pour améliorer nos objets et nos potions pour le premier ou encore de les utiliser comme une véritable arme de destruction contre vos ennemis pour le deuxième. On les retrouve également dans Majora's Mask, Phantom Hourglass ou bien Spirit Tracks.,,Dans A Link To The Past, il existe des Abeilles d’Or qui, une fois libérées contre les ennemis, auront la particularité d’attaquer plus longtemps et de pouvoir être attrapées une deuxième fois après, contrairement aux abeilles normales qui disparaissent dans la nature juste après.,,Nous parlons ici des abeilles, mais n'oublions pas leurs larves qui jouent aussi un rôle, ne serait-ce que pour pêcher dans Twilight Princess ou pour améliorer vos objets dans Skyward Sword."
Abeilles_Tueuses,https://www.puissance-zelda.com/encyclopedie/400-Abeilles_Tueuses,"Les Abeilles Tueuses sont une bande de quatre enfants, résidents de Mercantîle, qui passent leur journée à traîner dans les rues de l’île tout en cherchant à embêter les passants. Quelque peu turbulents, leur attitude met mal à l’aise la maîtresse d’école Mrs. Mary, qui devant déjà s’occuper d’un petit effectif d’écoliers, supporte difficilement de voir quatre de ses élèves faire le mur. Contrairement à leurs homologues de Majora's Mask : les Bombers, les membres des Abeilles Tueuses possèdent chacun une apparence et une personnalité propre. ,,Ainsi, de gauche à droite, on retrouve en premier lieu Yvan, qui non sans être le plus turbulent des quatre, a su se démarquer des autres en tant que leader en raison de sa grande gueule. Benoît, avec sa tête de renard, est quant à lui le plus rapide de la bande, mais également le plus sournois, puisqu’il ne fait preuve d’aucune pitié lorsqu’il s’agit de rabaisser les autres. Jean, alors que sa petite tête d’ange laisserait croire qu’il est le plus sage de tous, se révèle en réalité être leur atout lorsqu’il s’agit de faire les pires coups bas. Finalement, Raoul, reconnaissable entre mille avec son nez de cochon, est issu d'un milieu bourgeois, qu'il méprise, mais de fait reste le plus discret des quatre lorsqu’il s’agit de faire des bêtises. Raoul cherche cependant à montrer qu'il reste un gagnant, et aspire donc secrètement à devenir le chef des Abeilles Tueuses.,,Link viendra à rencontrer ces garnements lors de sa première escapade sur Mercantîle. Venant en aide à Mrs. Mary, le jeune Hylien acceptera de jouer à cache-cache avec les Abeilles Tueuses, car s’il venait à gagner, ces derniers s’engageraient à retourner en classe. Sans toutefois voir en Link un nouveau leader, les Abeilles Tueuses se mettent ensuite à le respecter, et prennent conscience du bien que leur veut leur maîtresse, promettant de faire des efforts. De fait, ils feront une dernière fois appel à Link pour retrouver le cadeau d’anniversaire qu’ils souhaitent offrir à Mrs. Mary : un Papillon du Bonheur, qu'ils ont en réalité caché car étant trop timides pour l'apporter eux-mêmes."
Abel,https://www.puissance-zelda.com/encyclopedie/691-Abel,"Abel réside sur l'Île de l'Aurore dans The Wind Waker. Il est marié avec Rose et père de deux enfants, Joël et Jill. Il était autrefois connu pour son apparence élégante et son charisme notable, ce qui en faisait de surcroît un tombeur de dames. Contrairement aux apparences, c'est cependant Abel qui demanda Rose en mariage, celle-ci ayant fini par accepter après de multiples refus. Depuis lors, Abel joue son rôle de père de famille attentionné. ,,Au début du jeu, Abel se prend d'affection pour les cochons sauvages de l'île, et se cache dans les fourrés en espérant en capturer un. Il confiera finalement la tâche à Link de ramener autant de cochons que possible dans l'enclos de sa demeure, tout en lui prodiguant au passage quelques tutoriels. Plus tard dans le jeu, Abel ne gardera finalement qu'un seul cochon ayant fortement grossi, les deux autres ayant entre temps achevé leur existence dans la cuisine de Rose. En raison du poids de l'animal, Abel est désormais incapable de le sortir de son enclos, et c'est de fait à Link qu'il confiera encore une fois sa besogne. ,,L'apparence d'Abel, notamment au niveau de ses expressions et de sa coupe de cheveux, trouverait son inspiration dans le personnage d'Abraham Lincoln. Abraham est d'ailleurs le prénom qui lui est donné dans les versions espagnole et allemande du jeu. "
Acheman,https://www.puissance-zelda.com/encyclopedie/639-Acheman,"Acheman est un ennemi ayant une proche parenté avec Ache, l’équivalent des Saigneurs dans The Adventure of Link ce qui se retranscrit par une similitude à la fois dans le nom, mais aussi dans l’allure. En effet, il se dissimule sous les traits d’Ache, suspendu aux plafonds des grottes. Ce n’est que lorsqu’un intrus s’approche de lui qu’il descend de son perchoir, plonge vers Link avant d’atterrir. Une fois au sol, il révèle sa véritable forme : un démon ailé à l’aspect humanoïde. Après avoir craché plusieurs boules de feu, Acheman redevient une chauve-souris et s’enfuit vers le plafond. ,,Ces différentes aptitudes font de lui un ennemi plus puissant qu’un Ache, mais aussi plus facile à vaincre puisqu’il est plus facile de l’atteindre de par sa taille et sa position au niveau du sol lorsqu’il est transformé."
Adhoc,https://www.puissance-zelda.com/encyclopedie/379-Adhoc,"Adhoc est un habitant de l’Île de l’Aurore dans The Wind Waker. Tandis que sa petite-fille, Hydrie, a depuis longtemps déménagé de l’autre côté de l’île avec son fiancé, le vieil homme partage toujours sa maison avec son petit frère, Orco. Les deux comparses ne s’étant jamais supportés, Orco habite ainsi au rez-de-chaussée, où il pratique ses talents de combattant, tandis qu’Adhoc réside au premier étage, où il tente tant bien que mal de continuer à se cultiver, même s’il doit régulièrement remplacer ses pots qui ne cessent de se briser en raison du raffut que produit son frère. Ce duo de choc se révèle au final être le principal tutoriel de Link au début de son aventure, car tandis qu’Orco lui enseignera les bases du combat à l’épée, Adhoc lui confiera toutes les informations nécessaires pour interagir avec les autres personnages et l’environnement du jeu.,,Même s’il fait preuve d’une grande énergie lorsqu’il s’agit de réprimander son frère, Adhoc ne dispose cependant pas d’une aussi grande endurance que celle de l’ancien pêcheur. Ainsi, à chaque nuit où les monstres de Ganondorf viennent semer la zizanie sur l’Île de l’Aurore, Adhoc se voit contraint de faire appel à Hydrie pour surveiller sa santé malgré tout fragile.,,Tout comme bon nombre de personnages de The Wind Waker, Adhoc refait son apparition dans The Minish Cap. Toujours fidèle à sa grande sagesse, le vieil homme joue ainsi le rôle de libraire dans la bibliothèque de la Citadelle d’Hyrule, où il a développé une certaine manie du rangement. Ainsi, lorsque plusieurs livres seront amenés à disparaître des étagères, empêchant alors Link de les escalader sous sa forme de Minish, il aurait été plus simple de déplacer quelques ouvrages au lieu d’aller chercher les livres manquants chez leurs locataires… Mais c’était sans compter sur Adhoc, toujours à l’affut du moindre désordre !  "
Adlar,https://www.puissance-zelda.com/encyclopedie/467-Adlar,"Adlar est un habitant de Labrynna dans le passé d’Oracle of Ages. Autrefois conseiller au Palais d’Ambi, le vieillard connaissait la reine depuis sa jeune enfance, et exerça son métier pendant près de cinquante ans avant d’être définitivement banni du château. Depuis, il vit reculé, loin de la royauté du pays, dans une maison au sud-ouest de la Cité Lynna. L’origine de son bannissement se situe en réalité dans l’arrivée récente au palais d’une jeune fille, du nom de Nayru. L’oracle des âges étant à ce moment-là possédée par Veran, elle manipula la Reine Ambi afin d’utiliser son influence sur le monde de Labrynna, et réussit à la persuader de chasser son conseiller le plus proche. Il semblerait en effet qu’Adlar ait rapidement remarqué un comportement pour le moins étrange chez la jeune fille, et devint donc un obstacle sur la route de Veran.,,À plusieurs moments-clés de son périple, Link peut rendre visite à Adlar afin de récolter quelques précieux conseils quant à la route à suivre. Une fois Veran terrassée et Ambi libérée de son emprise, Adlar restera à la Cité Lynna, et informera le jeune Hylien sur le départ de sa reine, partie en voyage vers d'autres contrées – en l’occurrence Holodrum et Subrosia d’Oracle of Seasons, et ce pour une durée indéterminée."
-Aeline,https://www.puissance-zelda.com/encyclopedie/1042-Aeline,"Apparaissant dans A Link Between Worlds, Aëline est une jeune sorcière qui aidera Link au cours de sa quête. Elle se trouve aussi être une des sept sages du jeu.,,Vêtue d'une longue robe et d'un grand chapeau de sorcier violet et rouge, elle peut faire penser à Maple, une autre jeune sorcière apparaissant dans Oracle of Seasons et Oracle of Ages (tout comme leur deux grand-mères respectives : Mamie Magie et Syrup, dont leur ressemblance est encore plus frappante).,,Le diseur de bonne aventure l'ayant conseillé de prendre soin de quelque chose de vert, peu après avoir fini le palais de l'Est, Aëline confiera une clochette au jeune héros. Grâce à celle-ci, Link pourra appeler Aëline pour se transporter dans tout Hyrule et Lorule, à proximité des girouettes activées.,,Plus tard, (après avoir obtenus les trois pendentifs) Aëline sera transformée en tableau par Yuga. Son balai (et seulement lui) répondra tout de même à l'appel. Ceci dit, même une fois que Link aura libéré Aëline de son sort, elle ne réapparaîtra pas, son balais continuera comme à son habitude de délivrer seul le héros où il le voudra, tout de même accompagné cette fois-ci d'un commentaire de sa propriétaire."
Aeralfos,https://www.puissance-zelda.com/encyclopedie/257-Aeralfos,"L’Aeralfos est le mini-boss de Celestia dans Twilight Princess. Très ressemblant aux Lizalfos, ce lézard se différencie d’eux par la présence d’ailes, ce qui en fait un adversaire beaucoup plus rapide mais surtout plus difficile à atteindre. Ses attaques en piquée sont en effet dévastatrices, mais elles représentent également son seul point faible. En effet, quelques secondes avant de plonger, l’Aeralfos met en évidence son bouclier, cible parfaite pour le grappin.   ,,Une fois au sol, le lézard perd donc toute son agilité, et représente autant de danger qu’un Lizalfos. Il est amusant de noter qu’en effectuant une Charge Bouclier, il est possible de lui ôter son heaume, bien que cela reste un détail. Après plusieurs coups assénés, l’Aeralfos change de tactique, et utilise désormais les différentes ouvertures de la salle afin de surprendre notre héros, en disparaissant puis en réapparaissant à un autre endroit. ,,Une fois l'Aeralfos vaincu, Link peut récupérer un second grappin, fortement utile pour explorer la suite du donjon. Il est possible de retrouver l’Aeralfos dans le Château d’Hyrule ainsi que dans la Caverne de l’Ordalie, où le terrain clos en fait un ennemi moins coriace."
erouage,https://www.puissance-zelda.com/encyclopedie/36-Aerouage,"L'Aérouage est un objet exclusif à Twilight Princess, qui s'obtient dans la Tour du Jugement. Sa principale fonction consiste à permettre à Link d'utiliser des éléments du décor conçus spécialement pour cet objet afin de pouvoir se déplacer plus vite et accéder à des zones inatteignables à pied. L'Aérouage peut aussi déclencher des mécanismes réservés spécialement à cet objet dans des donjons, en faisant tourner les rouages du système. ,,Autrement, l'Aérouage permet de parcourir pendant plus longtemps les sables mouvants sans couler, et d'attaquer en sautant de rouage en rouage, comme dans le combat contre Humbaba, le boss de la Tour du Jugement."
